recto_texte,verso_texte,emoji,categorie,kanji_only
会,かい / あ— : se réunir ; rencontrer,🈶,Genki L07,off
社,しゃ : société,🈶,Genki L07,off
父,ふ / ちち : père,🈶,Genki L07,off
母,ぼ / はは : mère,🈶,Genki L07,off
高,こう / たか— : haut ; cher,🈶,Genki L07,off
校,こう : école,🈶,Genki L07,off
毎,まい : chaque,🈶,Genki L07,off
語,ご : langue ; mot,🈶,Genki L07,off
文,ぶん : phrase ; texte,🈶,Genki L07,off
帰,き / かえ— : rentrer,🈶,Genki L07,off
入,にゅう / はい—・い— : entrer,🈶,Genki L07,off
員,いん : membre,🈶,Genki L08,off
新,しん / あたら— : nouveau,🈶,Genki L08,off
聞,ぶん / き— : écouter ; journal,🈶,Genki L08,off
作,さく / つく— : fabriquer,🈶,Genki L08,off
仕,し / つか— : servir,🈶,Genki L08,off
事,じ / ごと・こと : chose ; affaire,🈶,Genki L08,off
電,でん : électricité,🈶,Genki L08,off
車,しゃ / くるま : voiture,🈶,Genki L08,off
休,きゅう / やす— : se reposer,🈶,Genki L08,off
言,げん / い— : dire,🈶,Genki L08,off
読,どく / よ— : lire,🈶,Genki L08,off
思,し / おも— : penser,🈶,Genki L08,off
次,じ / つぎ : suivant,🈶,Genki L08,off
何,なに・なん : quoi,🈶,Genki L08,off
午,ご : midi,🈶,Genki L09,off
後,ご / あと・うし— : après,🈶,Genki L09,off
前,ぜん / まえ : avant ; devant,🈶,Genki L09,off
名,めい・みょう / な : nom,🈶,Genki L09,off
白,はく / しろ— : blanc,🈶,Genki L09,off
雨,う / あめ : pluie,🈶,Genki L09,off
書,しょ / か— : écrire,🈶,Genki L09,off
友,ゆう / とも : ami,🈶,Genki L09,off
間,かん / あいだ : intervalle ; entre,🈶,Genki L09,off
家,か / いえ : maison,🈶,Genki L09,off
話,わ / はな— : parler,🈶,Genki L09,off
少,しょう / すこ— : peu,🈶,Genki L09,off
古,こ / ふる— : vieux (objet),🈶,Genki L09,off
知,ち / し— : savoir,🈶,Genki L09,off
来,らい / く—・き— : venir,🈶,Genki L09,off
住,じゅう / す— : habiter,🈶,Genki L10,off
正,しょう / ただ— : correct ; janvier,🈶,Genki L10,off
年,ねん / とし : année,🈶,Genki L10,off
売,ばい / う— : vendre,🈶,Genki L10,off
買,ばい / か— : acheter,🈶,Genki L10,off
町,"ちょう / まち : ville, quartier",🈶,Genki L10,off
長,ちょう / なが— : long ; chef,🈶,Genki L10,off
道,どう / みち : chemin,🈶,Genki L10,off
雪,せつ / ゆき : neige,🈶,Genki L10,off
立,りつ / た— : se tenir debout,🈶,Genki L10,off
自,じ : soi-même,🈶,Genki L10,off
夜,や / よる : nuit,🈶,Genki L10,off
朝,ちょう / あさ : matin,🈶,Genki L10,off
持,"じ / も— : tenir, porter",🈶,Genki L10,off
手,しゅ / て : main,🈶,Genki L11,off
紙,し / かみ : papier,🈶,Genki L11,off
好,こう / す—・この : aimer,🈶,Genki L11,off
近,きん / ちか— : proche,🈶,Genki L11,off
明,めい / あか— : clair ; brillant,🈶,Genki L11,off
病,びょう : maladie,🈶,Genki L11,off
院,いん : établissement (hôpital...),🈶,Genki L11,off
映,えい / うつ— : refléter,🈶,Genki L11,off
画,"が・かく : image, dessin",🈶,Genki L11,off
歌,か / うた— : chanter,🈶,Genki L11,off
市,し / いち : ville,🈶,Genki L11,off
所,"じょ・しょ / ところ : lieu, endroit",🈶,Genki L11,off
勉,べん : s'efforcer,🈶,Genki L11,off
強,きょう / つよ— : fort,🈶,Genki L11,off
有,"ゆう / あ— : exister, avoir",🈶,Genki L11,off
旅,りょ / たび : voyage,🈶,Genki L11,off
昔,むかし : autrefois,🈶,Genki L12,off
々,(répétition du kanji précédent),🈶,Genki L12,off
神,じん・しん / かみ : dieu,🈶,Genki L12,off
早,そう / はや— : tôt,🈶,Genki L12,off
起,き / お— : se lever,🈶,Genki L12,off
牛,ぎゅう / うし : vache,🈶,Genki L12,off
使,し / つか— : utiliser,🈶,Genki L12,off
働,どう / はたら— : travailler,🈶,Genki L12,off
連,"れん / つ— : lier, emmener",🈶,Genki L12,off
別,べつ / わか— : séparer,🈶,Genki L12,off
度,ど : fois ; degré,🈶,Genki L12,off
赤,せき / あか— : rouge,🈶,Genki L12,off
青,せい / あお— : bleu,🈶,Genki L12,off
色,しき・しょく / いろ : couleur,🈶,Genki L12,off
