recto_texte,verso_texte,emoji,categorie
Vers ... (heure),～ごろ,,Genki L03
Aller,いく(行く),,Genki L03
Rentrer,かえる(帰る),,Genki L03
"Écouter, demander",きく(聞く),,Genki L03
Boire,のむ(飲む),🥤,Genki L03
Parler,はなす(話す),,Genki L03
Lire,よむ(読む),,Genki L03
Se lever,おきる(起きる),,Genki L03
Manger,たべる(食べる),🍽️,Genki L03
"Dormir, se coucher",ねる(寝る),💴,Genki L03
"Voir, regarder",みる(見る),,Genki L03
Venir,くる(来る),,Genki L03
Faire,する,,Genki L03
Étudier,べんきょうする(勉強する),🏫,Genki L03
"Bien, bon",いい,,Genki L03
"Tôt, rapide",はやい(早い),,Genki L03
Pas beaucoup (+ négatif),あまり,,Genki L03
Pas du tout (+ négatif),ぜんぜん,,Genki L03
Généralement,たいてい,,Genki L03
Un peu,ちょっと,,Genki L03
Parfois,ときどき(時々),,Genki L03
"Souvent, bien",よく,,Genki L03
"C'est vrai, voyons voir",そうですね,,Genki L03
Mais,でも,,Genki L03
Comment est... ?,どうですか,,Genki L03
Jeu,ゲーム,,Genki L04
Job à temps partiel,アルバイト,,Genki L04
"Courses, shopping",かいもの(買い物),🏫,Genki L04
"Classe, cours",クラス,🏫,Genki L04
Chien,いぬ(犬),🐕,Genki L04
Chat,ねこ(猫),🐈,Genki L04
Personne,ひと(人),,Genki L04
Enfant,こども(子供),,Genki L04
"Toi, vous",あなた,,Genki L04
Chaise,いす,,Genki L04
Bureau (meuble),つくえ(机),,Genki L04
Photo,しゃしん(写真),,Genki L04
Fleur,はな(花),,Genki L04
"Rapport, devoir écrit",レポート,,Genki L04
"Riz cuit, repas",ごはん(ご飯),🍽️,Genki L04
Pain,パン,,Genki L04
Temple bouddhiste,おてら(お寺),⛩️,Genki L04
Parc,こうえん(公園),,Genki L04
Supermarché,スーパー,,Genki L04
Arrêt de bus,バスてい(バス停),🚌,Genki L04
Hôpital,びょういん(病院),💊,Genki L04
Hôtel,ホテル,🏨,Genki L04
Librairie,ほんや(本屋),,Genki L04
"Ville, quartier",まち(町),,Genki L04
Restaurant,レストラン,🍽️,Genki L04
Hier,きのう(昨日),,Genki L04
... heures (durée),～じかん(～時間),,Genki L04
La semaine dernière,せんしゅう(先週),📅,Genki L04
Moment où...,とき(時),,Genki L04
Lundi,げつようび(月曜日),📅,Genki L04
Mardi,かようび(火曜日),📅,Genki L04
Mercredi,すいようび(水曜日),📅,Genki L04
Jeudi,もくようび(木曜日),📅,Genki L04
Vendredi,きんようび(金曜日),📅,Genki L04
Rencontrer,あう(会う),,Genki L04
Il y a (chose),ある,,Genki L04
Acheter,かう(買う),,Genki L04
Écrire,かく(書く),,Genki L04
Prendre (une photo),とる(撮る),,Genki L04
Attendre,まつ(待つ),,Genki L04
Comprendre,わかる,,Genki L04
"Il y a (être vivant), rester",いる,,Genki L04
Environ ...,～ぐらい,,Genki L04
Je suis désolé(e),ごめんなさい,,Genki L04
"Et puis, ensuite",それから,,Genki L04
"Donc, c'est pourquoi",だから,,Genki L04
Beaucoup,たくさん,,Genki L04
"Avec ..., et",～と,,Genki L04
Pourquoi,どうして,,Genki L04
Seul(e),ひとりで(一人で),,Genki L04
Allô (au téléphone),もしもし,📱,Genki L04
Droite,みぎ(右),,Genki L04
Gauche,ひだり(左),,Genki L04
Devant,まえ(前),,Genki L04
Derrière,うしろ(後ろ),,Genki L04
Dedans,なか(中),,Genki L04
"Sur, au-dessus",うえ(上),,Genki L04
"Sous, en dessous",した(下),,Genki L04
Près de,ちかく(近く),,Genki L04
À côté de,となり(隣),,Genki L04
Entre,あいだ(間),,Genki L04
Janvier,いちがつ(一月),,Genki L04
Février,にがつ(二月),,Genki L04
Juillet,しちがつ(七月),,Genki L04
Décembre,じゅうにがつ(十二月),,Genki L04
Avant-hier,おととい,,Genki L04
Après-demain,あさって,,Genki L04
Le mois dernier,せんげつ(先月),📅,Genki L04
Le mois prochain,らいげつ(来月),📅,Genki L04
L'année dernière,きょねん(去年),📅,Genki L04
L'année prochaine,らいねん(来年),📅,Genki L04
Nourriture,たべもの(食べ物),🍽️,Genki L05
Boisson,のみもの(飲み物),🥤,Genki L05
Fruit,くだもの(果物),,Genki L05
"Vacances, jour de congé",やすみ(休み),📅,Genki L05
Voyage,りょこう(旅行),,Genki L05
Mer,うみ(海),,Genki L05
Surf,サーフィン,,Genki L05
Souvenir (cadeau),おみやげ(お土産),,Genki L05
Bus,バス,🚌,Genki L05
"Météo, temps",てんき(天気),🌦️,Genki L05
Devoirs,しゅくだい(宿題),🏫,Genki L05
"Test, contrôle",テスト,,Genki L05
Anniversaire,たんじょうび(誕生日),,Genki L05
"Chambre, pièce",へや(部屋),🏨,Genki L05
"Je (masculin, familier)",ぼく(僕),,Genki L05
Taille L,Lサイズ,,Genki L05
Nouveau,あたらしい(新しい),,Genki L05
Vieux (objet),ふるい(古い),,Genki L05
Chaud (météo),あつい(暑い),🌦️,Genki L05
Froid (météo),さむい(寒い),🌦️,Genki L05
Occupé,いそがしい(忙しい),,Genki L05
Grand,おおきい(大きい),,Genki L05
Petit,ちいさい(小さい),,Genki L05
"Intéressant, drôle",おもしろい(面白い),,Genki L05
Ennuyeux,つまらない,,Genki L05
"Facile, gentil",やさしい,,Genki L05
Difficile,むずかしい(難しい),,Genki L05
Effrayant,こわい(怖い),,Genki L05
"Amusant, agréable",たのしい(楽しい),,Genki L05
Pas cher,やすい(安い),💴,Genki L05
"Aimer, apprécier",すき(な)(好き),,Genki L05
Détester,きらい(な)(嫌い),,Genki L05
"Beau, propre",きれい(な),,Genki L05
"En forme, énergique",げんき(な)(元気),,Genki L05
Calme,しずか(な)(静か),,Genki L05
"Animé, vivant",にぎやか(な),,Genki L05
"Libre, disponible",ひま(な)(暇),,Genki L05
Nager,およぐ(泳ぐ),⚽,Genki L05
Monter à bord de,のる(乗る),,Genki L05
Faire (familier),やる,,Genki L05
Sortir,でかける(出かける),,Genki L05
Ensemble,いっしょに(一緒に),,Genki L05
Extrêmement,すごく,,Genki L05
"Ça va, pas de problème",だいじょうぶ(大丈夫),,Genki L05
Quel genre de,どんな,,Genki L05
Compteur pour objets plats,～まい(～枚),,Genki L05
Kanji,かんじ(漢字),,Genki L06
Manuel scolaire,きょうかしょ(教科書),,Genki L06
Page,ページ,,Genki L06
Suivant,つぎ(次),,Genki L06
Argent,おかね(お金),💴,Genki L06
Bagage,にもつ(荷物),,Genki L06
Ordinateur personnel,パソコン,,Genki L06
Douche,シャワー,,Genki L06
Climatisation,エアコン,,Genki L06
Électricité,でんき(電気),,Genki L06
Fenêtre,まど(窓),,Genki L06
Train,でんしゃ(電車),🚆,Genki L06
Pays,くに(国),,Genki L06
Cette semaine,こんしゅう(今週),📅,Genki L06
La semaine prochaine,らいしゅう(来週),📅,Genki L06
Nuit,よる(夜),🕐,Genki L06
"Difficile, pénible",たいへん(な)(大変),,Genki L06
"Jouer, s'amuser",あそぶ(遊ぶ),,Genki L06
Se dépêcher,いそぐ(急ぐ),💴,Genki L06
Rendre,かえす(返す),,Genki L06
"Éteindre, effacer",けす(消す),,Genki L06
S'asseoir,すわる(座る),,Genki L06
"Se lever, se tenir debout",たつ(立つ),,Genki L06
Utiliser,つかう(使う),,Genki L06
Aider (dans une tâche),てつだう(手伝う),,Genki L06
Entrer,はいる(入る),,Genki L06
"Porter, tenir",もつ(持つ),👕,Genki L06
"Se reposer, s'absenter",やすむ(休む),,Genki L06
Ouvrir,あける(開ける),,Genki L06
Fermer,しめる(閉める),,Genki L06
Enseigner,おしえる(教える),,Genki L06
Oublier,わすれる(忘れる),,Genki L06
Descendre (de),おりる(降りる),,Genki L06
Emprunter,かりる(借りる),,Genki L06
Prendre une douche,シャワーをあびる,,Genki L06
Allumer,つける,,Genki L06
Téléphoner,でんわする(電話する),📱,Genki L06
Amener (qqn),つれてくる(連れてくる),,Genki L06
Plus tard,あとで(後で),,Genki L06
Tout de suite,すぐ,,Genki L06
"Lentement, tranquillement",ゆっくり,,Genki L06
"Non merci, ça ira",けっこうです(結構です),,Genki L06
Vraiment ?,ほんとうですか(本当ですか),,Genki L06
Famille,かぞく(家族),👪,Genki L07
Grand-père,おじいさん,👪,Genki L07
Grand-mère,おばあさん,👪,Genki L07
Grand frère (de qqn),おにいさん,👪,Genki L07
Grande sœur (de qqn),おねえさん,👪,Genki L07
Mon père,ちち(父),👪,Genki L07
Ma mère,はは(母),👪,Genki L07
Mon grand frère,あに(兄),👪,Genki L07
Ma grande sœur,あね(姉),👪,Genki L07
Petite sœur,いもうと(妹),👪,Genki L07
Petit frère,おとうと(弟),👪,Genki L07
Frères et sœurs,きょうだい(兄弟),👪,Genki L07
Homme,おとこのひと(男の人),,Genki L07
Femme,おんなのひと(女の人),,Genki L07
Entreprise,かいしゃ(会社),,Genki L07
Cantine,しょくどう(食堂),,Genki L07
Grand magasin,デパート,,Genki L07
Cheveux,かみ(髪),,Genki L07
Bouche,くち(口),,Genki L07
Œil,め(目),,Genki L07
Lunettes,めがね(眼鏡),,Genki L07
Chanson,うた(歌),,Genki L07
"Club, cercle (activité)",サークル,,Genki L07
Voiture,くるま(車),🚗,Genki L07
Long,ながい(長い),,Genki L07
Court,みじかい(短い),,Genki L07
Grand (taille),せがたかい(背が高い),,Genki L07
Petit (taille),せがひくい(背が低い),,Genki L07
Intelligent,あたまがいい(頭がいい),,Genki L07
Mignon,かわいい,,Genki L07
Gentil,しんせつ(な)(親切),,Genki L07
Pratique,べんり(な)(便利),,Genki L07
Chanter,うたう(歌う),,Genki L07
Porter (sur la tête),かぶる,👕,Genki L07
Porter (bas du corps),はく,👕,Genki L07
"Apprendre à connaître, savoir",しる(知る),,Genki L07
Habiter,すむ(住む),,Genki L07
Travailler,はたらく(働く),,Genki L07
Grossir,ふとる(太る),,Genki L07
Porter (haut du corps),きる(着る),👕,Genki L07
Maigrir,やせる,,Genki L07
Se marier,けっこんする(結婚する),,Genki L07
Rien (+ négatif),なにも(何も),,Genki L07
Compteur de personnes,～にん(～人),,Genki L07
Une personne,ひとり(一人),,Genki L07
Deux personnes,ふたり(二人),,Genki L07
Rien de particulier (+ négatif),べつに(別に),,Genki L07
Bien sûr,もちろん,,Genki L07
Si tu veux,よかったら,,Genki L07
"Mot, vocabulaire",たんご(単語),,Genki L09
Rédaction,さくぶん(作文),,Genki L09
Examen (officiel),しけん(試験),🏫,Genki L09
Lettre,てがみ(手紙),✉️,Genki L09
E-mail,メール,,Genki L09
Guitare,ギター,,Genki L09
Piano,ピアノ,,Genki L09
Concert,コンサート,,Genki L09
Ski,スキー,,Genki L09
"Bento, panier-repas",おべんとう(お弁当),🍽️,Genki L09
Maladie,びょうき(病気),💊,Genki L09
Médicament,くすり(薬),💊,Genki L09
Couleur,いろ(色),,Genki L09
"Prochainement, la prochaine fois",こんど(今度),,Genki L09
Bleu,あおい(青い),🔵,Genki L09
Rouge,あかい(赤い),🔴,Genki L09
Noir,くろい(黒い),⚫,Genki L09
Blanc,しろい(白い),⚪,Genki L09
"Triste, seul",さびしい(寂しい),,Genki L09
Jeune,わかい(若い),,Genki L09
Danser,おどる(踊る),,Genki L09
Se terminer,おわる(終わる),,Genki L09
Prendre un médicament,くすりをのむ(薬を飲む),💊,Genki L09
Être populaire,にんきがある(人気がある),,Genki L09
Commencer (intransitif),はじまる(始まる),,Genki L09
Jouer (instrument à cordes/piano),ひく(弾く),,Genki L09
Recevoir,もらう,,Genki L09
Mémoriser,おぼえる(覚える),,Genki L09
"Sortir, assister",でる(出る),,Genki L09
Faire de l'exercice,うんどうする(運動する),,Genki L09
Se promener,さんぽする(散歩する),,Genki L09
Depuis ...,～から,,Genki L09
Jusqu'à ...,～まで,,Genki L09
"Absolument, avec plaisir",ぜひ(是非),,Genki L09
Au fait,ところで,,Genki L09
Tout le monde,みんな,,Genki L09
Déjà,もう,,Genki L09
Un (objet),ひとつ,,Genki L09
Deux (objets),ふたつ,,Genki L09
Trois (objets),みっつ,,Genki L09
Quatre (objets),よっつ,,Genki L09
Cinq (objets),いつつ,,Genki L09
Six (objets),むっつ,,Genki L09
Sept (objets),ななつ,,Genki L09
Huit (objets),やっつ,,Genki L09
Neuf (objets),ここのつ,,Genki L09
Dix (objets),とお,,Genki L09
Saison,きせつ(季節),🍂,Genki L10
Printemps,はる(春),🍂,Genki L10
Automne,あき(秋),🍂,Genki L10
Lait,ぎゅうにゅう(牛乳),,Genki L10
Gâteau,ケーキ,,Genki L10
Sushi,すし(寿司),,Genki L10
Tempura,てんぷら(天ぷら),,Genki L10
Pomme,りんご,,Genki L10
Cuisine,りょうり(料理),🍽️,Genki L10
Football,サッカー,⚽,Genki L10
Baseball,やきゅう(野球),⚽,Genki L10
Médecin,いしゃ(医者),💊,Genki L10
Personne riche,おかねもち(お金持ち),,Genki L10
Célébrité,ゆうめいじん(有名人),,Genki L10
Visage,かお(顔),,Genki L10
Plus âgé,としうえ(年上),,Genki L10
Gare,えき(駅),🚆,Genki L10
Shinkansen,しんかんせん(新幹線),,Genki L10
Métro,ちかてつ(地下鉄),🚆,Genki L10
Bateau,ふね(船),⛴️,Genki L10
Avion,ひこうき(飛行機),✈️,Genki L10
Réservation,よやく(予約),,Genki L10
"Tour, excursion",ツアー,,Genki L10
Zoo,どうぶつえん(動物園),,Genki L10
Monde,せかい(世界),,Genki L10
Gants,てぶくろ(手袋),,Genki L10
Vie quotidienne,せいかつ(生活),,Genki L10
Cette année,ことし(今年),📅,Genki L10
Doux (météo),あたたかい(暖かい),🌦️,Genki L10
Frais (météo),すずしい(涼しい),🌦️,Genki L10
Froid (au toucher),つめたい(冷たい),💴,Genki L10
"Lent, en retard",おそい(遅い),,Genki L10
Somnolent,ねむい(眠い),,Genki L10
"Simple, facile",かんたん(な)(簡単),,Genki L10
Prendre (temps/argent),かかる,💴,Genki L10
"Loger, séjourner",とまる(泊まる),,Genki L10
Devenir,なる,,Genki L10
Décider,きめる(決める),,Genki L10
Traîner à la maison,ごろごろする,,Genki L10
Voyager,りょこうする(旅行する),,Genki L10
S'entraîner,れんしゅうする(練習する),,Genki L10
"Le plus, numéro un",いちばん(一番),,Genki L10
Lequel des deux,どっち／どちら,,Genki L10
"Tôt, vite",はやく(早く／速く),,Genki L10
À pied,あるいて(歩いて),,Genki L10
Par (moyen de transport),～で,💴,Genki L10
Comment (par quel moyen),どうやって,💴,Genki L10
Combien de temps/argent,どのぐらい,💴,Genki L10
... semaines,～しゅうかん(～週間),📅,Genki L10
... mois,～かげつ(～か月),📅,Genki L10
... ans,～ねん(～年),,Genki L10
Ces jours-ci,このごろ,,Genki L10
Après ...,～ご(～後),,Genki L10
Pays étranger,がいこく(外国),,Genki L11
Australie,オーストラリア,,Genki L11
Rivière,かわ(川),,Genki L11
Source chaude,おんせん(温泉),,Genki L11
Pêche,つり,,Genki L11
Lac,みずうみ(湖),,Genki L11
Montagne,やま(山),,Genki L11
Camping,キャンプ,,Genki L11
Balade en voiture,ドライブ,🚗,Genki L11
Sanctuaire shinto,じんじゃ(神社),⛩️,Genki L11
Musée d'art,びじゅつかん(美術館),⛩️,Genki L11
Président d'entreprise,しゃちょう(社長),,Genki L11
Chanteur,かしゅ(歌手),,Genki L11
Colocataire,ルームメイト,,Genki L11
Famille d'accueil,ホストファミリー,👪,Genki L11
Avenir,しょうらい(将来),,Genki L11
Rêve,ゆめ(夢),,Genki L11
Festival,おまつり(お祭り),⛩️,Genki L11
Nouvel An,おしょうがつ(お正月),,Genki L11
"Sucrerie, friandise",おかし(お菓子),,Genki L11
Ce semestre,こんがっき(今学期),,Genki L11
Le semestre prochain,らいがっき(来学期),,Genki L11
Cours,じゅぎょう(授業),🏫,Genki L11
Cette personne (poli),こちら,,Genki L11
Mentir,うそをつく,,Genki L11
Avoir faim,おなかがすく,,Genki L11
Sécher (les cours),サボる,💴,Genki L11
Apprendre (avec un prof),ならう(習う),,Genki L11
Grimper,のぼる(登る),,Genki L11
Courir,はしる(走る),⚽,Genki L11
Être fatigué,つかれる(疲れる),,Genki L11
"Arrêter, démissionner",やめる,,Genki L11
Se disputer,けんかする,,Genki L11
Présenter (qqn),しょうかいする(紹介する),,Genki L11
Faire un régime,ダイエットする,,Genki L11
Être en retard,ちこくする(遅刻する),,Genki L11
Étudier à l'étranger,りゅうがくする(留学する),🏫,Genki L11
"Origine, ville natale",しゅっしん(出身),,Genki L11
Ça fait longtemps,ひさしぶり(久しぶり),,Genki L11
Comme ci comme ça,まあまあ,,Genki L11
Seulement ...,～だけ,,Genki L11
... points,～てん(～点),,Genki L11
Écrivain,さっか(作家),,Genki L11
Policier,けいさつかん(警察官),,Genki L11
Pompier,しょうぼうし(消防士),,Genki L11
Enseignant,きょうし(教師),,Genki L11
Infirmier,かんごし(看護師),,Genki L11
Ventre,おなか,,Genki L12
"Jambe, pied",あし(足),,Genki L12
Gorge,のど,,Genki L12
Dent,は(歯),,Genki L12
Grippe,インフルエンザ,,Genki L12
Rhume,かぜ(風邪),💊,Genki L12
Toux,せき(咳),,Genki L12
Gueule de bois,ふつかよい(二日酔い),,Genki L12
Mal du pays,ホームシック,,Genki L12
Allergie,アレルギー,,Genki L12
Jus,ジュース,,Genki L12
Œuf,たまご(卵),,Genki L12
Vêtements,ふく(服),👕,Genki L12
Cadeau,プレゼント,,Genki L12
Billet (train),きっぷ(切符),🚆,Genki L12
Frais de ...,～だい(～代),,Genki L12
Affaire à régler,ようじ(用事),,Genki L12
Toilettes (poli),おてあらい(お手洗い),,Genki L12
Match,しあい(試合),,Genki L12
Politique,せいじ(政治),,Genki L12
"Note, résultat scolaire",せいせき(成績),,Genki L12
"Elle, petite amie",かのじょ(彼女),,Genki L12
"Lui, petit ami",かれ(彼),,Genki L12
Petit ami,かれし(彼氏),,Genki L12
"Sens, signification",いみ(意味),,Genki L12
Étroit,せまい(狭い),,Genki L12
Spacieux,ひろい(広い),,Genki L12
Mauvais,わるい(悪い),,Genki L12
Douloureux,いたい(痛い),,Genki L12
Sucré,あまい(甘い),,Genki L12
"Charmant, chouette",すてき(な)(素敵),,Genki L12
Marcher,あるく(歩く),💴,Genki L12
Attraper un rhume,かぜをひく(風邪をひく),💊,Genki L12
Avoir de la fièvre,ねつがある(熱がある),💊,Genki L12
Avoir soif,のどがかわく,,Genki L12
Payer,はらう(払う),💴,Genki L12
Perdre (un objet),なくす,,Genki L12
Être intéressé par,きょうみがある(興味がある),,Genki L12
Tousser,せきがでる(咳が出る),,Genki L12
Se séparer,わかれる(別れる),,Genki L12
Être nerveux,きんちょうする(緊張する),,Genki L12
S'inquiéter,しんぱいする(心配する),,Genki L12
Prenez soin de vous (au malade),おだいじに(お大事に),💊,Genki L12
Ne pas avoir l'air en forme,げんきがない(元気がない),,Genki L12
Autant que possible,できるだけ,,Genki L12
Probablement,たぶん,,Genki L12
Bientôt,もうすぐ,,Genki L12
Deux ou trois jours,にさんにち(二三日),,Genki L12
Jours de la semaine (dimanche à samedi),にちようび(日曜日)～どようび(土曜日),📅,Genki L04
Mois de l'année (janvier à décembre),いちがつ(一月)～じゅうにがつ(十二月),📅,Genki L04
Le 1er du mois,ついたち(一日),📅,Genki L05
Le 2 du mois,ふつか(二日),📅,Genki L05
Le 3 du mois,みっか(三日),📅,Genki L05
Le 4 du mois,よっか(四日),📅,Genki L05
Le 5 du mois,いつか(五日),📅,Genki L05
Le 6 du mois,むいか(六日),📅,Genki L05
Le 7 du mois,なのか(七日),📅,Genki L05
Le 8 du mois,ようか(八日),📅,Genki L05
Le 9 du mois,ここのか(九日),📅,Genki L05
Le 10 du mois,とおか(十日),📅,Genki L05
Le 20 du mois,はつか(二十日),📅,Genki L05
"Beau temps, ciel dégagé",はれ(晴れ),🌦️,Genki L08
Pluie,あめ(雨),🌦️,Genki L08
"Temps nuageux, couvert",くもり(曇り),🌦️,Genki L08
Neige,ゆき(雪),🌦️,Genki L08
Prévisions météo,てんきよほう(天気予報),🌦️,Genki L08
Température (air),きおん(気温),,Genki L08
Été,なつ(夏),🍂,Genki L08
Hiver,ふゆ(冬),🍂,Genki L08
Ce matin,けさ(今朝),🕐,Genki L08
Chaque semaine,まいしゅう(毎週),📅,Genki L08
Ce mois-ci,こんげつ(今月),📅,Genki L08
Employé de bureau,かいしゃいん(会社員),,Genki L08
"Travail, occupation",しごと(仕事),,Genki L08
Appareil photo,カメラ,,Genki L08
Karaoké,カラオケ,,Genki L08
Endroit,ところ(所),,Genki L08
Tomate,トマト,,Genki L08
Baguettes,はし(箸),,Genki L08
Fête,パーティー,,Genki L08
Barbecue,バーベキュー,,Genki L08
Séjour chez l'habitant,ホームステイ,,Genki L08
Bain,おふろ(お風呂),,Genki L08
Espagne,スペイン,,Genki L08
Quelque chose,なにか(何か),,Genki L08
"Habile, doué",じょうず(な)(上手),,Genki L08
"Maladroit, mauvais en...",へた(な)(下手),,Genki L08
Célèbre,ゆうめい(な)(有名),,Genki L08
Laver,あらう(洗う),,Genki L08
Dire,いう(言う),,Genki L08
"Être en retard, se faire tard",おそくなる(遅くなる),,Genki L08
Prendre un bain,おふろにはいる(お風呂に入る),,Genki L08
Penser,おもう(思う),,Genki L08
"Fabriquer, préparer",つくる(作る),,Genki L08
Tomber (pluie/neige),(あめ/ゆきが)ふる(降る),🌦️,Genki L08
Emporter,もっていく(持っていく),👕,Genki L08
Jeter,すてる(捨てる),,Genki L08
Commencer,はじめる(始める),,Genki L08
Conduire,うんてんする(運転する),🚗,Genki L08
Faire la lessive,せんたくする(洗濯する),,Genki L08
Nettoyer,そうじする(掃除する),,Genki L08
Cuisiner,りょうりする(料理する),🍽️,Genki L08
Oui (familier),うん,,Genki L08
Non (familier),ううん,,Genki L08
Toujours,いつも,,Genki L08
"En retard, tard",おそく(遅く),,Genki L08
Santé ! (on trinque),かんぱい(乾杯),,Genki L08
Tous ensemble,みんなで,,Genki L08
C'est dommage,ざんねん(ですね)(残念),,Genki L08
Pas encore (+ négatif),まだ,,Genki L08
À propos de...,～について,,Genki L08
... degrés,～ど(～度),,Genki L08
Comment,どう,,Genki L08
Portillon de billet (gare),かいさつぐち(改札口),🚆,Hors Genki
Distributeur de billets (train),けんばいき(券売機),🚆,Hors Genki
Guichet des billets,きっぷうりば(切符売場),🚆,Hors Genki
Voie ferrée,せんろ(線路),,Hors Genki
Arrivée,とうちゃく(到着),,Hors Genki
Départ,しゅっぱつ(出発),,Hors Genki
Porte d'embarquement,ゲート,,Hors Genki
Douane,ぜいかん(税関),,Hors Genki
Contrôle des passeports,しゅつにゅうこくしんさ(出入国審査),,Hors Genki
"Couloir, allée",つうろ(通路),,Hors Genki
Tarif (transport),うんちん(運賃),⚽,Hors Genki
Navette,シャトルバス,,Hors Genki
Bus de l'aéroport,くうこうバス(空港バス),✈️,Hors Genki
Enregistrement (hôtel),チェックイン,🏨,Hors Genki
Départ (hôtel),チェックアウト,🏨,Hors Genki
Réception,うけつけ(受付),🏨,Hors Genki
Numéro de chambre,へやばんごう(部屋番号),🏨,Hors Genki
Service en chambre,ルームサービス,🏨,Hors Genki
Auberge japonaise traditionnelle,りょかん(旅館),🏨,Hors Genki
Chambre simple,シングルルーム,🏨,Hors Genki
Chambre à lits jumeaux,ツインルーム,🏨,Hors Genki
Coffre-fort,きんこ(金庫),,Hors Genki
Bain public,せんとう(銭湯),,Hors Genki
Réservé aux hommes,だんせいせんよう(男性専用),,Hors Genki
Réservé aux femmes,じょせいせんよう(女性専用),,Hors Genki
Collyre,めぐすり(目薬),,Hors Genki
